名称,地址,细节,单价(元/m^2)
满堂悦MOMA ,锦业路,3室1厅 | 99.84平米 | 南 北 | 简装 | 中楼层(共33层)  | 板塔结合,"20,533元/平"
滨江翡翠城 ,西咸,3室2厅 | 90.63平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,"9,159元/平"
增源航都绿洲 ,长安,2室2厅 | 91.69平米 | 南 | 精装 | 中楼层(共15层)  | 板塔结合,"16,687元/平"
隆基泰和万和郡 ,西咸,3室2厅 | 102.96平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,"7,285元/平"
高山流水和城 ,都市之门,3室2厅 | 145.43平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,"8,802元/平"
龙湖香醍璟宸 ,安装四处,3室2厅 | 114.68平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,"17,615元/平"
万达天樾二期 ,都市之门,4室2厅 | 179.83平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,"31,697元/平"
天朗大兴郡蔚蓝君城 ,城西,3室2厅 | 110.63平米 | 南 北 | 精装 | 高楼层(共25层)  | 板塔结合,"17,627元/平"
融侨馨苑 ,城南,3室2厅 | 136.04平米 | 南 北 | 精装 | 低楼层(共28层)  | 塔楼,"17,635元/平"
金花公寓 ,城东,3室1厅 | 136.54平米 | 南 北 | 精装 | 低楼层(共29层)  | 板塔结合,"10,034元/平"
万达天樾二期 ,都市之门,4室2厅 | 147.06平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,"31,688元/平"
瑞麟君府-北区 ,临潼,3室2厅 | 137.57平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,"9,087元/平"
中国铁建万科翡翠国际 ,曲江,3室2厅 | 92.97平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,"25,277元/平"
生产小区69号东院 ,长安,2室1厅 | 75.53平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"10,063元/平"
浐灞新城四期 ,纺织城,2室1厅 | 84.91平米 | 西南 | 精装 | 低楼层(共27层)  | 板塔结合,"12,131元/平"
水榭花都 ,高陵,2室2厅 | 88.3平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,"7,928元/平"
水半湾 ,高陵,3室1厅 | 144.45平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,"7,546元/平"
车城温泉花园 ,高陵,3室2厅 | 121.28平米 | 南 | 简装 | 6层  | 板塔结合,"5,607元/平"
天正银河湾 ,高陵,2室1厅 | 94.8平米 | 西南 | 简装 | 中楼层(共18层)  | 板楼,"7,384元/平"
金星小区 ,临潼,3室2厅 | 96.4平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,"5,395元/平"
逸景佲居 ,高陵,3室2厅 | 127.16平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,"9,437元/平"
中国临潼石油生活城 ,临潼,3室2厅 | 145.28平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,"5,975元/平"
紫薇田园都市J区 ,紫薇田园都市,3室1厅 | 129.98平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,"16,849元/平"
湖光山色 ,西咸,4室2厅 | 142.09平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板楼,"22,521元/平"
华山幸福嘉苑 ,安装四处,3室2厅 | 128.69平米 | 西南 | 简装 | 高楼层(共28层)  | 塔楼,"9,636元/平"
嘉园馨苑 ,高陵,3室1厅 | 85.73平米 | 南 北 | 精装 | 高楼层(共19层)  | 板塔结合,"9,099元/平"
西雅图翡翠城 ,城西,2室1厅 | 79.33平米 | 西 | 精装 | 高楼层(共26层)  | 塔楼,"12,858元/平"
海棠别馆 ,紫薇田园都市,2室1厅 | 76.09平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,"18,268元/平"
金泰新理城 ,陕西大会堂,2室2厅 | 85.37平米 | 南 | 精装 | 29层  | 板楼,"26,825元/平"
车城温泉花园 ,高陵,3室2厅 | 124.68平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,"5,214元/平"
华城万象 ,城南,2室2厅 | 88.48平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,"16,162元/平"
天正银河湾 ,高陵,3室2厅 | 130.33平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,"9,592元/平"
天正花园 ,高陵,2室2厅 | 86.53平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 板楼,"6,935元/平"
鸿鼎福门 ,长安,2室2厅 | 112.54平米 | 西南 | 简装 | 低楼层(共24层)  | 板楼,"8,886元/平"
东尚观湖 ,城西,1室1厅 | 46.13平米 | 南 | 简装 | 中楼层(共27层)  | 板塔结合,"13,441元/平"
东方罗马花园 ,矿山路,2室1厅 | 32.18平米 | 北 | 精装 | 低楼层(共16层)  | 塔楼,"17,092元/平"
招商依云曲江 ,曲江,2室1厅 | 76.72平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,"20,204元/平"
鸿基新城祥园 ,鱼化寨,2室2厅 | 84.5平米 | 南 | 其他 | 24层  | 板塔结合,"16,509元/平"
雅逸新城二期 ,城西,2室1厅 | 68.07平米 | 北 | 精装 | 中楼层(共33层)  | 板塔结合,"12,635元/平"
金辉悦府 ,城西,2室2厅 | 81.35平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,"19,054元/平"
华府新桃园 ,唐延路,2室1厅 | 90.3平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,"12,736元/平"
尚品格蓝 ,高新四路,2室2厅 | 72.27平米 | 西 | 精装 | 高楼层(共16层)  | 塔楼,"18,265元/平"
曲江澜山 ,曲江,2室1厅 | 85.45平米 | 西北 | 精装 | 中楼层(共32层)  | 塔楼,"14,746元/平"
赛高街区 ,经开南,2室1厅 | 76.2平米 | 西 北 | 精装 | 中楼层(共29层)  | 板塔结合,"15,735元/平"
香克林小镇 ,经开南,2室2厅 | 92.19平米 | 南 西 | 简装 | 低楼层(共30层)  | 板楼,"13,776元/平"
海轩梦想100 ,高陵,3室2厅 | 108.76平米 | 南 北 | 简装 | 中楼层(共27层)  | 板塔结合,"8,551元/平"
上东大道 ,矿山路,1室1厅 | 49.51平米 | 北 | 精装 | 中楼层(共33层)  | 塔楼,"15,351元/平"
宏府麒麟山 ,城西,2室1厅 | 72.6平米 | 东北 | 精装 | 高楼层(共33层)  | 板塔结合,"16,116元/平"
中海凯旋门 ,曲江,2室1厅 | 82.42平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,"24,873元/平"
龙城铭园二期 ,鱼化寨,2室2厅 | 85.27平米 | 南 | 精装 | 32层  | 板塔结合,"20,054元/平"
中铁缤纷新城 ,纺织城,2室2厅 | 79.19平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,"14,775元/平"
金色时代公寓 ,城内,1室1厅 | 44.09平米 | 东 | 简装 | 高楼层(共13层)  | 塔楼,"8,551元/平"
省人民医院家属院 ,黄雁村,1室1厅 | 43.53平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,"10,338元/平"
御溪望城 ,城西,1室1厅 | 39.83平米 | 北 | 简装 | 低楼层(共31层)  | 塔楼,"13,056元/平"
龙城铭园一期 ,鱼化寨,2室1厅 | 94.02平米 | 南 | 精装 | 26层  | 板塔结合,"17,656元/平"
御锦城理想树 ,浐河西路,2室1厅 | 73.4平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,"16,077元/平"
李家村万达广场 ,李家村,2室2厅 | 84.19平米 | 南 | 简装 | 中楼层(共29层)  | 板塔结合,"12,591元/平"
天朗莱茵小城 ,城西,2室2厅 | 78平米 | 南 | 简装 | 高楼层(共27层)  | 板塔结合,"15,129元/平"
西钞西区 ,城西,2室1厅 | 66.6平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,"12,463元/平"
尚品格蓝 ,高新四路,1室1厅 | 46.74平米 | 北 | 精装 | 中楼层(共16层)  | 塔楼,"22,465元/平"
天朗御湖 ,经开北,2室1厅 | 76.98平米 | 东 | 精装 | 高楼层(共32层)  | 板塔结合,"16,628元/平"
龙城铭园二期 ,鱼化寨,2室1厅 | 84.63平米 | 南 | 其他 | 32层  | 板塔结合,"20,206元/平"
魏玛公馆 ,经开北,1室1厅 | 48.66平米 | 北 西北 | 精装 | 高楼层(共26层)  | 板塔结合,"28,566元/平"
南飞鸿十年城 ,鱼化寨,3室2厅 | 77.82平米 | 东南 | 精装 | 低楼层(共28层)  | 板楼,"22,488元/平"
魏玛公馆 ,经开北,1室1厅 | 48.66平米 | 北 西北 | 精装 | 高楼层(共26层)  | 板塔结合,"28,566元/平"
陕西日报社家属院 ,李家村,2室1厅 | 72.71平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,"12,241元/平"
李家村万达广场 ,李家村,2室2厅 | 84.19平米 | 南 | 简装 | 中楼层(共29层)  | 板塔结合,"12,591元/平"
御锦城理想树 ,浐河西路,2室1厅 | 73.4平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,"16,077元/平"
西钞西区 ,城西,2室1厅 | 66.6平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,"12,463元/平"
中铁缤纷南郡 ,陕西大会堂,2室1厅 | 87.16平米 | 南 | 精装 | 32层  | 板塔结合,"25,241元/平"
海亮新英里 ,雁南,2室1厅 | 79.09平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,"19,978元/平"
美立方 ,高新六路,2室2厅 | 103.48平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,"13,530元/平"
辰宫双河湾 ,未央湖,2室1厅 | 87.5平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,"11,658元/平"
广电小区 ,城南,2室1厅 | 50.29平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,"12,329元/平"
尚品美地城 ,锦业路,2室2厅 | 87.51平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,"20,798元/平"
富力城南区 ,长安,2室2厅 | 88.91平米 | 东 南 | 精装 | 低楼层(共30层)  | 板塔结合,"16,309元/平"
悦美国际 ,长安,2室2厅 | 85.26平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,"17,125元/平"
春天花园 ,长安,2室1厅 | 89.16平米 | 南 | 简装 | 低楼层(共28层)  | 塔楼,"11,665元/平"
五一花园 ,西咸,2室1厅 | 61.09平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,"7,858元/平"
复地优尚国际一期 ,鱼化寨,2室1厅 | 74.2平米 | 南 | 精装 | 27层  | 板塔结合,"17,116元/平"
新东尚 ,安装四处,2室1厅 | 89.33平米 | 西北 | 其他 | 中楼层(共33层)  | 塔楼,"13,994元/平"
世茂都 ,经开北,2室1厅 | 82.53平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,"18,660元/平"
广丰花园 ,城北,1室0厅 | 44.78平米 | 北 | 简装 | 中楼层(共31层)  | 塔楼,"10,496元/平"
灞电一区 ,半坡立交,2室1厅 | 61.48平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,"7,320元/平"
曲江信合家属院 ,曲江,2室2厅 | 72.38平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,"13,126元/平"
金地褐石公馆 ,曲江,2室1厅 | 77.22平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,"20,073元/平"
榕青无界 ,城南,2室1厅 | 63.92平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,"12,594元/平"
金业缇香山 ,城东,2室1厅 | 73.56平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,"16,722元/平"
群星汇 ,城南,1室1厅 | 56.27平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,"15,462元/平"
荣德棕榈湾 ,安装四处,2室2厅 | 83.57平米 | 东南 | 精装 | 高楼层(共30层)  | 板塔结合,"12,684元/平"
炮房街园林局家属院 ,城东,1室0厅 | 31.91平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,"8,054元/平"
城市锦上 ,经开南,2室1厅 | 84.92平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,"19,960元/平"
海璟台北湾南区 ,经开南,1室0厅 | 50.76平米 | 西 | 其他 | 中楼层(共33层)  | 板塔结合,"12,215元/平"
西城馨苑 ,西咸,2室1厅 | 90.1平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,"11,987元/平"
雍河院 ,高陵,3室1厅 | 119.55平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,"7,529元/平"
华清学府城 ,安装四处,3室1厅 | 105.31平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,"16,143元/平"
国色天香 ,长安,3室2厅 | 111.73平米 | 南 北 | 其他 | 中楼层(共20层)  | 板塔结合,"17,722元/平"
天朗大兴郡蔚蓝悦城 ,城西,3室2厅 | 124.04平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,"16,527元/平"
桃苑中心花园 ,临潼,3室2厅 | 150.84平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 平房,"7,293元/平"
天正花园 ,高陵,3室2厅 | 106.77平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"5,526元/平"
水榭名都 ,高陵,2室1厅 | 44.99平米 | 南 北 | 精装 | 中楼层(共16层)  | 板塔结合,"8,225元/平"
万科金域未央 ,经开北,3室2厅 | 131.06平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,"22,051元/平"
昆明花园 ,高新六路,2室2厅 | 88.4平米 | 南 | 简装 | 高楼层(共24层)  | 板楼,"16,403元/平"
车城温泉花园 ,高陵,3室2厅 | 103.58平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,"7,821元/平"
北城新天地 ,高陵,2室2厅 | 83.11平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,"7,942元/平"
五湖名邸东区 ,雁鸣湖,4室2厅 | 172.49平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,"15,943元/平"
爱尚泾渭 ,高陵,3室1厅 | 47.76平米 | 北 南 | 简装 | 中楼层(共16层)  | 板塔结合,"8,962元/平"
天正花园 ,高陵,3室2厅 | 97.69平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"7,453元/平"
巧克力公寓 ,城东,2室1厅 | 52.19平米 | 西 | 精装 | 中楼层(共19层)  | 塔楼,"16,479元/平"
隆源国际城A区 ,北客站,3室1厅 | 115.49平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,"12,729元/平"
颐和盛世 ,高陵,3室2厅 | 110.92平米 | 南 北 | 简装 | 高楼层(共11层)  | 平房,"7,934元/平"
仕嘉公寓A区（绿地世纪城） ,锦业路,2室2厅 | 99.58平米 | 南 | 简装 | 低楼层(共24层)  | 板塔结合,"19,081元/平"
车城温泉花园 ,高陵,3室2厅 | 124.4平米 | 南 北 | 精装 | 6层  | 板塔结合,"7,476元/平"
天正银河湾 ,高陵,3室2厅 | 118.67平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,"9,017元/平"
泾渭上城 ,高陵,2室1厅 | 47.8平米 | 南 北 | 简装 | 低楼层(共12层)  | 板塔结合,"10,042元/平"
御锦城智慧树 ,浐河西路,2室2厅 | 81.22平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,"16,450元/平"
博尚希望城 ,临潼,3室2厅 | 133.9平米 | 南 北 | 精装 | 27层  | 平房,"9,336元/平"
浐灞半岛A10区 ,浐河西路,2室2厅 | 88平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,"13,410元/平"
华城国际小区 ,城南,3室2厅 | 110.52平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,"15,201元/平"
天正银河湾 ,高陵,3室2厅 | 114.91平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,"8,485元/平"
渭水茗居 ,高陵,3室2厅 | 118.06平米 | 南 北 | 简装 | 高楼层(共26层)  | 塔楼,"7,200元/平"
雅居乐铂琅峯 ,长安,3室2厅 | 88.78平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,"22,415元/平"
西北一路 ,城内,3室1厅 | 70.23平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,"9,398元/平"
浐灞半岛A6区 ,浐河西路,3室2厅 | 117.53平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,"13,444元/平"
海璟台北湾南区 ,经开南,1室0厅 | 50.76平米 | 西 | 其他 | 中楼层(共33层)  | 板塔结合,"12,215元/平"
中国铁建万科翡翠国际 ,曲江,3室1厅 | 103.34平米 | 东北 | 精装 | 中楼层(共44层)  | 板塔结合,"18,677元/平"
白桦林居小区 ,经开北,2室1厅 | 87.89平米 | 南 | 简装 | 低楼层(共26层)  | 板楼,"19,912元/平"
东新商住大厦 ,城东,2室1厅 | 73.13平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,"10,530元/平"
海荣豪佳花园 ,经开南,2室0厅 | 66.11平米 | 北 | 精装 | 低楼层(共25层)  | 板楼,"11,345元/平"
恒大名都 ,浐河西路,3室2厅 | 108.99平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,"13,121元/平"
唐韵三坊 ,城东,2室1厅 | 80.24平米 | 东 | 精装 | 高楼层(共33层)  | 塔楼,"11,965元/平"
彩云郡 ,城北,2室1厅 | 88.86平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"11,929元/平"
尚品美地城 ,锦业路,2室2厅 | 79.2平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,"20,935元/平"
西港雅苑 ,锦业路,2室2厅 | 96.99平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,"17,940元/平"
中铁缤纷南郡 ,陕西大会堂,2室1厅 | 79.55平米 | 南 | 精装 | 33层  | 板塔结合,"22,628元/平"
旭景新港 ,城西,2室1厅 | 94.75平米 | 东 | 简装 | 中楼层(共33层)  | 板塔结合,"12,454元/平"
御笔华庭 ,城西,1室0厅 | 29.59平米 | 东 | 简装 | 低楼层(共32层)  | 板塔结合,"11,998元/平"
学林雅苑 ,长安,2室2厅 | 89.75平米 | 东 南 | 精装 | 低楼层(共18层)  | 板楼,"14,039元/平"
融侨馨苑 ,城南,2室2厅 | 91.83平米 | 西南 | 精装 | 16层  | 板楼,"19,057元/平"
宏府鹍翔九天 ,城西,2室2厅 | 81.5平米 | 北 | 简装 | 中楼层(共33层)  | 塔楼,"13,866元/平"
枫韵蓝湾 ,高新六路,2室1厅 | 92.85平米 | 东南 | 简装 | 18层  | 板塔结合,"14,594元/平"
自在城 ,城北,2室1厅 | 75.9平米 | 北 | 精装 | 低楼层(共33层)  | 板楼,"13,505元/平"
学林雅苑 ,长安,2室2厅 | 87.15平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,"13,632元/平"
华远君城 ,城北,2室2厅 | 78.91平米 | 东 北 | 简装 | 高楼层(共33层)  | 塔楼,"14,321元/平"
龙城铭园一期 ,鱼化寨,2室1厅 | 85.33平米 | 南 | 简装 | 26层  | 板塔结合,"15,821元/平"
城市风景夏日景色二期 ,高新六路,2室1厅 | 73平米 | 南 | 简装 | 32层  | 板塔结合,"17,398元/平"
利君明天 ,高新六路,2室2厅 | 77.27平米 | 北 | 精装 | 中楼层(共26层)  | 板塔结合,"17,083元/平"
浪琴湾 ,经开北,2室2厅 | 89.69平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,"14,829元/平"
橡树星座 ,高新三小,1室1厅 | 51.42平米 | 东 北 | 精装 | 低楼层(共33层)  | 塔楼,"20,810元/平"
智慧新城 ,长安,3室1厅 | 102.31平米 | 西北 | 精装 | 高楼层(共28层)  | 板塔结合,"17,399元/平"
天朗蓝湖树 ,鱼化寨,2室2厅 | 86.99平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼,"17,589元/平"
天地源曲江香都 ,曲江,3室1厅 | 99.6平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,"19,980元/平"
宝管同馨苑 ,高陵,2室2厅 | 97.23平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,"8,434元/平"
尚品格蓝 ,高新四路,1室1厅 | 46.92平米 | 南 | 简装 | 中楼层(共16层)  | 塔楼,"20,674元/平"
西旅逸都 ,城西,3室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共28层)  | 板塔结合,"14,445元/平"
群星汇 ,城南,3室2厅 | 121.46平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,"17,125元/平"
华城国际小区 ,城南,3室2厅 | 116.45平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,"15,114元/平"
中海城 ,曲江,2室1厅 | 76.47平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,"23,801元/平"
凯旋城 ,黄雁村,3室2厅 | 136.8平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,"18,860元/平"
华城万象 ,城南,2室1厅 | 85平米 | 东 | 其他 | 中楼层(共34层)  | 板塔结合,"15,706元/平"
天朗大兴郡蔚蓝悦城 ,城西,3室2厅 | 123.34平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,"18,486元/平"
利君花园 ,经开南,2室2厅 | 86.23平米 | 南 | 简装 | 低楼层(共21层)  | 塔楼,"12,989元/平"
百益雅苑 ,城西,3室1厅 | 121.4平米 | 西 | 精装 | 高楼层(共16层)  | 板楼,"11,862元/平"
市一中家属院 ,城西,3室2厅 | 88.38平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,"14,483元/平"
凯旋城 ,黄雁村,3室2厅 | 130.32平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,"19,031元/平"
绿地与湖 ,雁鸣湖,2室2厅 | 84.88平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,"16,377元/平"
紫薇田园都市G区 ,紫薇田园都市,2室2厅 | 98.44平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"26,209元/平"
仕嘉公寓A区（绿地世纪城） ,锦业路,2室2厅 | 71.08平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,"24,339元/平"
魏玛公馆 ,经开北,3室1厅 | 88.45平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,"23,743元/平"
长兴园湖曲 ,城西,2室2厅 | 82.47平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,"14,915元/平"
天朗大兴郡蔚蓝悦城 ,城西,3室2厅 | 88.64平米 | 东 南 | 精装 | 低楼层(共34层)  | 板塔结合,"17,825元/平"
浐灞半岛A6区 ,浐河西路,2室2厅 | 79.85平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,"13,275元/平"
西岸国际花园西苑 ,广泰门,2室2厅 | 82.25平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,"15,198元/平"
金地西沣公元二期 ,雁南,3室2厅 | 120.13平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,"24,890元/平"
华远君城 ,城北,2室2厅 | 87.88平米 | 东北 | 精装 | 低楼层(共32层)  | 塔楼,"13,769元/平"
海璟时代 ,经开南,3室2厅 | 111.44平米 | 南 西 | 精装 | 中楼层(共33层)  | 板楼,"13,012元/平"
千禧阁 ,城南,4室2厅 | 194.65平米 | 西南 北 | 精装 | 低楼层(共23层)  | 板楼,"9,145元/平"
兰乔圣菲 ,城南,3室2厅 | 113.35平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,"15,439元/平"
融锦尚都 ,城北,3室1厅 | 111.59平米 | 西南 | 精装 | 中楼层(共28层)  | 板楼,"13,443元/平"
西旅逸都 ,城西,3室1厅 | 44.36平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,"16,231元/平"
汉杰枫尚 ,城西,2室1厅 | 76.45平米 | 西南 | 精装 | 中楼层(共27层)  | 板塔结合,"12,427元/平"
东方罗马花园 ,矿山路,2室1厅 | 42.92平米 | 南 北 | 简装 | 中楼层(共16层)  | 塔楼,"16,776元/平"
大华曲江公园世家六期 ,曲江,3室2厅 | 94.2平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,"23,886元/平"
花溪湾 ,城南,2室1厅 | 90.31平米 | 东南 | 简装 | 低楼层(共24层)  | 板塔结合,"14,174元/平"
花溪湾 ,城南,2室1厅 | 90.31平米 | 东南 | 简装 | 低楼层(共24层)  | 板塔结合,"14,174元/平"
金茂晓苑 ,城东,2室1厅 | 97.07平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,"13,908元/平"
大华曲江公园世家六期 ,曲江,3室2厅 | 94.2平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,"23,886元/平"
东方罗马花园 ,矿山路,2室1厅 | 42.92平米 | 南 北 | 简装 | 中楼层(共16层)  | 塔楼,"16,776元/平"
紫郡长安 ,城南,1室1厅 | 60.08平米 | 北 | 精装 | 高楼层(共27层)  | 塔楼,"14,981元/平"
融锦尚都 ,城北,3室1厅 | 111.59平米 | 西南 | 精装 | 中楼层(共28层)  | 板楼,"13,443元/平"
西旅逸都 ,城西,3室1厅 | 44.36平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,"16,231元/平"
博水西北院 ,城南,3室1厅 | 91.12平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,"12,621元/平"
万科金域东郡 ,矿山路,3室2厅 | 86.87平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,"20,261元/平"
桃园南路55号院 ,城西,4室2厅 | 207.13平米 | 南 北 | 简装 | 高楼层(共12层)  | 暂无数据,"15,208元/平"
华远君城 ,城北,2室2厅 | 86.98平米 | 西 | 精装 | 中楼层(共32层)  | 板塔结合,"14,487元/平"
庆华北区 ,洪庆,2室2厅 | 60.73平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,"10,704元/平"
中华世纪城 ,唐延路,5室2厅 | 155.65平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,"26,342元/平"
天朗大兴郡蔚蓝君城 ,城西,3室2厅 | 125.53平米 | 北 南 | 精装 | 高楼层(共31层)  | 板楼,"18,323元/平"
逸翠园一期 ,逸翠园,3室2厅 | 131.34平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,"28,933元/平"
瑞景华庭 ,城北,3室1厅 | 111.9平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,"11,082元/平"
龙湖源著 ,广泰门,3室1厅 | 91.76平米 | 南 | 精装 | 33层  | 板楼,"23,213元/平"
华远海蓝城五期 ,广泰门,3室2厅 | 90.38平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,"20,470元/平"
金辉悦府 ,城西,3室2厅 | 95.62平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,"21,440元/平"
斯惟小区 ,经开北,1室1厅 | 29.16平米 | 北 | 简装 | 中楼层(共18层)  | 塔楼,"10,460元/平"
枫林九溪竹韵 ,国际港务区,3室2厅 | 89.08平米 | 东 南 | 精装 | 中楼层(共32层)  | 板楼,"20,768元/平"
竹园 ,长安,5室1厅 | 202.09平米 | 西南 南 | 精装 | 高楼层(共7层)  | 板楼,"7,918元/平"
龙湖香醍国际社区 ,安装四处,3室2厅 | 122.17平米 | 南 北 | 简装 | 低楼层(共9层)  | 板塔结合,"22,019元/平"
华清园 ,浐河西路,4室2厅 | 156.56平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,"7,538元/平"
碧水怡兰 ,未央湖,7室4厅 | 252.97平米 | 南 北 | 精装 | 下叠(共3层)  | 板楼 | 叠拼别墅 ,"17,315元/平"
仕嘉公寓A区（绿地世纪城） ,锦业路,1室1厅 | 62.83平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,"22,760元/平"
双威理想城 ,经开北,1室0厅 | 52.01平米 | 西 | 其他 | 低楼层(共31层)  | 板塔结合,"12,498元/平"
