名称,地址,细节,单价(元/m^2)
智慧新城 ,长安,3室1厅 | 129.43平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,"16,148元/平"
丰禾小区 ,城西,2室2厅 | 71.73平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,"8,226元/平"
凤城明珠 ,经开南,2室1厅 | 100.02平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,"9,599元/平"
浩林方里 ,城西,3室1厅 | 117.62平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,"13,604元/平"
雅居乐锦城 ,城西,3室2厅 | 107.06平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,"17,281元/平"
暖山西安 ,安装四处,2室2厅 | 98.44平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,"12,191元/平"
华洲城天峰 ,城西,3室1厅 | 75.23平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,"23,528元/平"
公园北路73号 ,城东,3室1厅 | 87.4平米 | 北 南 | 简装 | 高楼层(共7层)  | 板楼,"8,216元/平"
满堂悦MOMA ,锦业路,3室2厅 | 95.37平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,"22,649元/平"
华宇凤凰城 ,西咸,3室2厅 | 125.29平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,"13,729元/平"
岗家寨小区 ,经开南,3室2厅 | 108.35平米 | 南 北 | 简装 | 高楼层(共7层)  | 塔楼,"6,350元/平"
华远海蓝城五期 ,广泰门,3室2厅 | 88.26平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,"21,754元/平"
金辉悦府 ,城西,3室2厅 | 101.56平米 | 东 南 | 精装 | 中楼层(共32层)  | 板塔结合,"18,807元/平"
丹枫国际 ,高新四路,2室1厅 | 69.82平米 | 北 | 精装 | 中楼层(共24层)  | 板塔结合,"12,031元/平"
新西蓝一期 ,高新四路,3室1厅 | 136.19平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,"13,584元/平"
增源航都绿洲 ,长安,3室2厅 | 140.47平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,"16,730元/平"
水岸东方1期 ,半坡立交,2室2厅 | 89.62平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,"12,275元/平"
沁水新城 ,安装四处,3室2厅 | 138.04平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,"12,207元/平"
欣心家园 ,城北,2室2厅 | 95.25平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,"11,024元/平"
天地源香都东岸 ,曲江,3室1厅 | 90.78平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,"22,142元/平"
大华曲江公园世家三期 ,曲江,3室2厅 | 116.35平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,"21,315元/平"
联盟新城 ,城南,3室2厅 | 143.96平米 | 东南 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,"10,420元/平"
东方米兰国际城 ,鱼化寨,2室2厅 | 88.97平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,"20,007元/平"
天地源万熙天地.枫园 ,城南,3室2厅 | 107.9平米 | 南 | 精装 | 33层  | 板塔结合,"20,575元/平"
华远海蓝城4期 ,矿山路,3室2厅 | 86.38平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,"20,260元/平"
长安区客运公司家属院 ,长安,3室1厅 | 84.91平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"10,364元/平"
群贤道九號 ,高新四路,3室1厅 | 135.53平米 | 东 南 北 | 精装 | 33层  | 板楼,"24,940元/平"
蔚蓝领寓 ,城西,2室2厅 | 83.86平米 | 东南 | 简装 | 中楼层(共33层)  | 板塔结合,"14,906元/平"
紫薇希望城东区 ,经开北,3室2厅 | 108平米 | 南 北 | 其他 | 高楼层(共16层)  | 板塔结合,"14,723元/平"
佳和苑 ,南稍门,2室2厅 | 105.73平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,"8,134元/平"
中天雅苑 ,城北,2室1厅 | 97.24平米 | 西南 | 其他 | 高楼层(共32层)  | 板塔结合,"14,192元/平"
陕汽泾渭国际城 ,高陵,2室2厅 | 94.2平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,"8,153元/平"
西安南郊铁路新村 ,城东,3室1厅 | 77.21平米 | 西南 | 简装 | 高楼层(共6层)  | 板楼,"23,055元/平"
天都佳苑 ,城南,2室2厅 | 75.06平米 | 西 | 精装 | 低楼层(共31层)  | 塔楼,"13,643元/平"
臻园 ,城西,3室1厅 | 95.76平米 | 东 南 | 精装 | 高楼层(共33层)  | 板塔结合,"19,633元/平"
宝管同馨苑 ,高陵,3室2厅 | 134.6平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,"7,058元/平"
高科绿水东城一期 ,纺织城,3室2厅 | 161.09平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,"11,485元/平"
绿地国宝21城 ,西咸,3室1厅 | 149.38平米 | 南 北 | 精装 | 3层  | 板塔结合 | 联排别墅 ,"11,916元/平"
店子王生态家园 ,高陵,4室2厅 | 167.8平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,"4,399元/平"
蔚蓝花城 ,城西,2室2厅 | 88.8平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"12,388元/平"
海亮新英里 ,雁南,3室2厅 | 119.59平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,"23,414元/平"
金辉悦府 ,城西,3室1厅 | 111.42平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,"19,656元/平"
恒大帝景一期 ,经开南,3室2厅 | 122.36平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,"18,716元/平"
金辉公园里 ,曲江,3室2厅 | 116.29平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,"28,206元/平"
万科城市之光北区 ,曲江,3室1厅 | 87.82平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,"24,482元/平"
鸿基新城沁园 ,鱼化寨,2室2厅 | 89.22平米 | 南 北 | 精装 | 29层  | 板塔结合,"18,606元/平"
新一代北城国际 ,城北,2室2厅 | 99.66平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,"14,851元/平"
华城万象 ,城南,3室2厅 | 122.77平米 | 东南 | 精装 | 中楼层(共34层)  | 板塔结合,"17,106元/平"
永乐小区 ,城东,3室1厅 | 91.72平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,"9,268元/平"
西旅逸都 ,城西,2室1厅 | 44.35平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,"17,813元/平"
华洲城云顶 ,城西,3室1厅 | 83.29平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,"24,133元/平"
恬静园 ,唐延路,3室2厅 | 146.67平米 | 西南 | 精装 | 中楼层(共28层)  | 塔楼,"10,841元/平"
科荣花园小区 ,曲江,3室2厅 | 122.9平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,"10,904元/平"
